"Sample","Plex","Group"
"19191","A","Case"
"34629","A","Control"
"34862","A","Case"
"40431","A","Control"
"40475","A","Case"
"35038","A","Control"
"34866","A","Case"
"41436","A","Control"
"41383","A","Case"
"40316","A","Control"
"3746","A","Case"
"102953","A","Control"
"40797","B","Case"
"4177","B","Control"
"103376","B","Case"
"47542","B","Control"
"47442","B","Case"
"42977","B","Control"
"43081","B","Case"
"113835","B","Control"
"113856","B","Case"
"19584","B","Control"
"118117","B","Case"
"118008","B","Control"
